Gene Symbol,Relevance score
MLANA,9.02
ORC1,9.02
HESX1,9.01
TMPRSS3,9.01
CD209,9
DRD3,9
CCAR2,8.99
WDR11,8.99
XPO1,8.98
MIR532,8.98
HTT,8.97
CXCL1,8.97
FUS,8.96
MAGEC2,8.95
TNS1,8.95
RINT1,8.94
SULF1,8.94
MTR,8.93
TK1,8.92
EPHA1,8.91
CD59,8.9
RIPK1,8.9
FAM215A,8.9
GPT,8.89
SFRP1,8.89
EDAR,8.89
CASP2,8.89
GPR68,8.89
CD247,8.89
MECOM,8.88
SDC1,8.88
DDIT3,8.88
LGALS3BP,8.88
MIR199A2,8.87
GJB2,8.87
ALOX5,8.85
PTGER4,8.85
TSHR,8.85
PON1,8.84
RXRA,8.84
DMRT1,8.84
TCF7,8.84
PRDM2,8.82
ADA,8.82
TNFRSF8,8.82
COL7A1,8.82
NUMA1,8.81
BIRC7,8.81
E2F2,8.81
NCOR2,8.8
CYP24A1,8.8
MIR485,8.79
TACC2,8.79
SOX11,8.79
MELK,8.78
ARHGEF2,8.77
EPM2AIP1,8.77
MIR542,8.76
SF3B1,8.76
GREM1,8.75
RHOB,8.75
ALOX12,8.74
MIR215,8.74
MIR301A,8.74
HTR3A,8.71
IDO1,8.71
THBS2,8.71
TFRC,8.7
SUZ12,8.69
VCAM1,8.69
SPA17,8.69
PCM1,8.69
GACAT2,8.68
RAD54B,8.68
GAB1,8.68
SYK,8.67
PER2,8.66
CCDC141,8.66
WNT3A,8.66
SEMA3E,8.66
NANOG,8.65
FGF9,8.65
MYH9,8.64
PNPLA6,8.64
POLR3A,8.64
FANCG,8.63
COX5A,8.63
PRKDC,8.63
WNT7A,8.62
TNFAIP3,8.61
EPHB6,8.58
TRIM37,8.58
TUSC7,8.58
UBE2T,8.56
F2R,8.55
H2AX,8.55
PDGFD,8.54
LMX1B,8.53
SIK1,8.5
BMP10,8.49
RAD52,8.48
DVL1,8.47
NEK2,8.46
BGN,8.46
MIR449A,8.46
PLA2G2A,8.45
ALPL,8.45
GNB1,8.45
LRP6,8.44
PTPN1,8.44
CDH5,8.43
SH3KBP1,8.42
NACC1,8.42
NFKB2,8.42
MIR124-1,8.41
ITGB4,8.41
NKX3-1,8.41
THBD,8.41
MIR22HG,8.39
ASXL1,8.39
POU5F1B,8.38
TGM2,8.38
FLI1,8.38
TDGF1,8.38
VTCN1,8.38
CCNA1,8.37
MIR27B,8.37
SERPINB3,8.36
CHI3L1,8.35
PRKD1,8.35
MAP3K8,8.34
MMP10,8.34
IL17RD,8.33
RPA1,8.33
ZMIZ1,8.33
UBE3A,8.32
WEE1,8.32
PRRC2A,8.31
MAML2,8.31
PLAG1,8.3
THRB,8.3
ACKR3,8.29
MPLKIP,8.29
SCT,8.28
PCAT6,8.27
PPARD,8.27
MIF,8.27
LINC01772,8.26
TCHP,8.25
MSX1,8.25
ARAF,8.25
RASA1,8.22
CD1A,8.22
INHBA,8.22
CCDC170,8.22
RHO,8.21
OTX2,8.21
DSG2,8.2
CRH,8.2
LRBA,8.17
SSX2,8.17
CD9,8.17
ALCAM,8.17
APAF1,8.16
GDF9,8.16
PRKCB,8.15
EXT2,8.15
RNF213,8.14
SOCS3,8.14
MIR342,8.14
NFIB,8.13
CYP3A5,8.13
CCL22,8.13
AGER,8.13
DSC2,8.12
MIR151A,8.12
PGF,8.12
SSTR3,8.12
TIAM1,8.12
MIR197,8.11
STAT4,8.11
FGF10,8.11
TGIF1,8.1
MCAM,8.1
MIR30B,8.1
PSENEN,8.09
SPINT1,8.09
PCAT29,8.08
ZNF268,8.07
NAPSA,8.06
MKRN3,8.06
F9,8.06
H2AC18,8.06
CYP2C19,8.05
MIR144,8.04
OBSCN,8.03
STAT6,8.03
GATA1,8.03
HDAC5,8.02
PPARA,8.02
HNRNPA1,8.02
KRT15,8.01
ATP2C1,8.01
HSP90B1,8
PRKCI,8
STUB1,8
MAPK8IP1,7.99
RARS1,7.99
TLR3,7.99
KDM4C,7.99
ITGA4,7.99
MFGE8,7.99
NAMPT,7.98
RNASET2,7.96
ITGA5,7.96
ASAP1-IT1,7.96
IL4R,7.96
XRCC6,7.95
IGFBP7,7.95
BTK,7.94
CYP11B1,7.94
MAD2L1,7.93
CCN5,7.93
RHBDF2,7.93
PEG10,7.93
CX3CR1,7.92
IQGAP1,7.92
TIA1,7.91
ROR1,7.91
APOBEC3G,7.89
TMPRSS6,7.89
CCNE2,7.88
MIR30D,7.88
PTPRJ,7.88
CCL4,7.87
GAD1,7.86
BRD4,7.86
TRIM28,7.86
SLC5A8,7.86
ELAVL4,7.86
APOB,7.85
DVL3,7.85
SHOX,7.85
SPHK1,7.85
RARG,7.85
ACTN4,7.85
MIR95,7.84
ALKBH3,7.84
TMEFF2,7.84
MTRR,7.83
BACE1-AS,7.83
CYP27B1,7.82
APPL1,7.82
OLA1,7.82
OCIAD1,7.81
MIR515-1,7.81
TRPM8,7.8
CCR3,7.8
ACACA,7.8
MIR218-1,7.79
ZNRD1ASP,7.78
GEN1,7.78
PTPN3,7.76
SFTPC,7.75
PRMT7,7.75
SLC19A1,7.74
CUL1,7.74
CRYAA,7.74
EIF2AK2,7.73
FZD7,7.73
DPAGT1,7.73
SOS2,7.73
IL16,7.72
SPAAR,7.72
FANCF,7.72
IFITM1,7.72
MIR125B2,7.72
CD46,7.71
LPL,7.71
MACROD1,7.7
GKN1,7.7
HDAC3,7.69
ID1,7.69
ITGAL,7.69
JUND,7.69
NR3C2,7.68
CCR1,7.68
RAC2,7.68
ADAM17,7.67
PLCB1,7.67
HS6ST1,7.67
CSNK2A1,7.67
IRF4,7.66
FLRT3,7.66
NCOA4,7.66
SLC35C2,7.65
NR4A1,7.65
LGR5,7.65
DDX3X,7.65
TNFSF13B,7.64
PYHIN1,7.64
OSM,7.64
HOXA10,7.64
DNTT,7.64
PSMB5,7.63
CIP2A,7.63
TCF7L1,7.63
NIPBL,7.63
ZNF217,7.62
H1-3,7.62
PPT1,7.61
IHH,7.61
CEACAM1,7.61
MIR302C,7.61
NPTN-IT1,7.61
ABCC3,7.6
ATF2,7.6
CDR2,7.59
ABCA3,7.58
ETS2,7.58
ST18,7.58
KDM6A,7.57
ARID5B,7.56
HNRNPA2B1,7.55
HNRNPK,7.55
CASP1,7.54
PEBP1,7.54
RBX1,7.53
CLDN1,7.53
MRTFA,7.53
BRINP1,7.53
POLR3B,7.53
IL12RB1,7.53
CASC3,7.52
CXCL13,7.52
CDCP1,7.52
IKBKE,7.52
BLCAP,7.52
CXCL9,7.51
PLA2G4A,7.51
HK2,7.51
EDNRB,7.5
GTF2H5,7.49
CCR2,7.48
ISG15,7.48
PTH,7.47
MAPK7,7.47
BTC,7.46
HYAL1,7.46
STK4,7.46
PRKACB,7.45
TCF3,7.45
MIR193A,7.45
MDK,7.45
SNHG1,7.44
TTC4,7.44
ZFP36,7.44
HPN,7.44
MBP,7.43
FANCE,7.43
PES1,7.43
ITGA2,7.43
GAPDH,7.42
GPC6,7.42
MIR324,7.42
HSF1,7.41
BMPR2,7.41
LSP1,7.4
MICA,7.4
MIR422A,7.4
ELN,7.4
MIR147A,7.4
CEACAM6,7.39
MIR196B,7.39
AGT,7.39
LRRC56,7.38
AKR1B10,7.38
KL,7.37
RBBP4,7.36
STC1,7.35
MCM4,7.35
NUP107,7.35
MYH8,7.35
EHMT1,7.34
DUXAP10,7.34
CASC16,7.34
ADAM10,7.33
DYRK1A,7.33
ALDH9A1,7.33
DLL4,7.32
PHLDA2,7.32
HES1,7.32
ZMPSTE24,7.31
RPS27A,7.31
RPS6KA3,7.3
CD38,7.29
DCN,7.28
LOC110806263,7.28
WIF1,7.28
RMRP,7.28
CYP21A2,7.27
HNF1A,7.27
SIX1,7.26
TPO,7.26
MT-CO2,7.26
ANGPT1,7.26
FAN1,7.25
SLC39A1,7.25
FTO,7.25
MIR637,7.25
PLXND1,7.25
SDHAF2,7.24
BMP7,7.24
MIR29B1,7.24
CALD1,7.23
CHD5,7.23
SPHK2,7.21
JUNB,7.2
PIK3CD,7.2
AIFM1,7.2
SULF2,7.2
MMP26,7.2
FGF19,7.19
TPX2,7.19
GATA2,7.19
F2RL1,7.18
MAPRE2,7.18
CSF3R,7.18
ASPH,7.17
KRT13,7.17
HLA-C,7.17
SLC39A6,7.16
GHRH,7.16
GDNF,7.16
CUX1,7.15
PLCE1,7.15
RHNO1,7.15
PRDX2,7.15
CD1D,7.14
APP,7.13
RALB,7.12
SFRP2,7.12
MIR33A,7.12
POLG,7.12
RHEB,7.12
CCKAR,7.11
SLC7A5,7.11
FZD4,7.1
SREBF2,7.1
BACH1,7.1
HIPK2,7.09
SMCHD1,7.09
SELP,7.09
NR1I2,7.08
CD2AP,7.06
ZFPM2,7.06
ATXN3,7.06
UMPS,7.05
BCAS4,7.05
HLA-DQA1,7.05
PRDX5,7.05
TCIM,7.05
CUL4A,7.04
BNIP3,7.04
CYB5A,7.04
HDGF,7.04
GNB3,7.04
CRTC1,7.04
SMAD1,7.03
SNCA,7.03
TPD52,7.03
PRKCQ,7.03
RPS20,7.03
CCR4,7.02
DUSP1,7.02
DMBT1,7.02
RDX,7.01
STC2,7
PIAS1,7
CHKA,6.99
HNMT,6.99
CNBP,6.99
LAMA2,6.98
TIMM8B,6.98
PPP1R3A,6.98
WFDC1,6.97
CT83,6.96
XAGE1A,6.96
CSE1L,6.96
XRCC4,6.96
ADRB2,6.95
GSTA1,6.95
KCNH1,6.95
HSD11B1,6.94
ATRX,6.94
ENPP2,6.93
G6PC,6.93
SH2B3,6.93
TBL1XR1,6.93
IGFBP4,6.92
USF1,6.92
ATF3,6.92
SMO,6.92
SKI,6.91
CXCR2,6.91
LIN28A,6.9
CXCL14,6.89
TNFRSF19,6.88
MCM5,6.88
TSPO,6.88
TMEM170B,6.88
TNN,6.88
MSI1,6.88
GALT,6.87
CUBN,6.87
ROCK2,6.87
UGT2B15,6.87
SSTR4,6.86
AGAP2,6.86
HSD17B13,6.86
NOVA1,6.85
TRAF6,6.85
RPSA,6.85
RBP1,6.84
KLF17,6.84
DKK3,6.84
ABCB4,6.84
TNFRSF10D,6.84
LDLR,6.83
BUB3,6.83
ROR2,6.83
MECP2,6.83
CD7,6.83
CD5,6.81
DUSP3,6.81
AKAP9,6.8
MIR16-2,6.8
MT-ND2,6.79
NSD1,6.79
MACF1,6.79
PTPN14,6.79
IGF2BP2,6.78
RBL2,6.78
RYBP,6.78
HDAC8,6.78
RSPO1,6.78
TCF20,6.78
ALDOA,6.78
FYN,6.77
RAP1A,6.77
MIR378A,6.77
CARS2,6.76
PAX3,6.75
EHMT2,6.75
DHH,6.75
MAP2K3,6.75
MMP8,6.75
IL12B,6.74
CFP,6.74
FER1L4,6.74
FCGR3A,6.73
TMEM97,6.73
XAGE1B,6.73
TRAF3,6.72
PRDM16,6.72
SLC45A3,6.72
PHLPP1,6.72
HK1,6.72
PTP4A1,6.71
USF2,6.71
WNK1,6.71
TGFBR3,6.71
P3H2,6.7
ARMC4,6.7
MFN2,6.7
RBL1,6.7
POLR2L,6.7
TCL1A,6.7
MAP1LC3A,6.69
MBD4,6.68
IGFBP6,6.68
DDX5,6.68
ITGA9,6.68
LAMTOR5,6.67
RALBP1,6.67
RIOX2,6.67
BCL3,6.67
POLQ,6.66
NT5C1B,6.66
GHRHR,6.66
INPPL1,6.66
P2RX7,6.66
MCM3,6.65
ARHGAP11A,6.65
BRCA3,6.65
MIR572,6.64
SEMA3B,6.64
FOXO4,6.64
CASK,6.64
LYN,6.64
RPS27,6.63
GAS6,6.63
MCTS1,6.62
PTPN12,6.62
PEA15,6.62
AKR1A1,6.62
AFAP1,6.62
AVPR2,6.61
ITIH4,6.61
PTP4A3,6.61
MICB,6.61
ZNF668,6.6
SLC30A2,6.6
BBC3,6.59
CASC8,6.59
THRSP,6.59
CD14,6.59
ADM,6.58
SIK3,6.58
LIMK1,6.58
MIR370,6.58
DHCR7,6.57
WASF3,6.57
ATP7A,6.57
CXCR1,6.57
MDC1,6.57
TRH,6.56
HPD,6.56
LPP,6.55
TRIM29,6.55
CD80,6.54
PODXL,6.54
S100P,6.54
SLCO2A1,6.54
PLD2,6.53
CNC2,6.53
ELK1,6.53
RTEL1,6.52
PRMT1,6.52
EEF1A1,6.52
PHF13,6.52
PMAIP1,6.52
TXNIP,6.51
CD2,6.51
ETV7,6.51
MINPP1,6.5
ITIH5,6.49
MLLT10,6.49
ICAM5,6.49
LHX4,6.49
HSPA1A,6.49
CLOCK,6.49
PRKG1,6.48
RNF6,6.48
PASD1,6.48
NEK8,6.47
OPRM1,6.47
KDM3A,6.47
MIR129-2,6.46
ESRRG,6.46
TENM1,6.46
ANO1,6.46
CD69,6.46
AMFR,6.45
CCL18,6.45
ADIPOR1,6.45
TAP1,6.45
THBS4,6.44
IGF2-AS,6.44
MIR135B,6.44
HAVCR2,6.44
CCL17,6.44
CDKL5,6.44
UBE2C,6.43
TFPI,6.43
AHCY,6.43
AQP1,6.42
SAT1,6.42
LIG1,6.42
TAC1,6.41
MIR622,6.41
LOC111099027,6.41
LOC111099028,6.41
FCRL5,6.4
WNT10A,6.4
FREM2,6.4
TJP1,6.4
CDR1,6.4
AICDA,6.4
LACTB,6.39
MBD2,6.39
HSP90AB1,6.39
NUS1,6.39
TINCR,6.38
ANAPC5,6.38
ADNP,6.38
IRX5,6.38
UBC,6.38
PITX2,6.38
LAMB3,6.38
ALDH3A1,6.38
F7,6.38
UGT1A9,6.37
MIR129-1,6.37
MAK,6.37
TRAF2,6.37
STAG3,6.37
APOBEC3B,6.37
CBS,6.37
TFPI2,6.36
SETDB1,6.36
DNM3OS,6.35
SPEN,6.35
SRCIN1,6.35
SEPTIN9,6.35
FAIM2,6.35
E2F5,6.35
SDCCAG8,6.35
IL1R1,6.35
PPARGC1A,6.34
EPG5,6.34
POU2F1,6.33
CYP11B2,6.32
FAM98A,6.32
TFF2,6.32
GPC4,6.32
ENAH,6.32
BMP5,6.32
THBS3,6.32
MIR508,6.31
TUBG1,6.31
UBE2I,6.31
PRNCR1,6.31
PRDX1,6.31
DUSP13,6.31
LOC106721785,6.31
ARNT,6.3
CUL4B,6.3
YWHAE,6.3
CAMP,6.3
MAOA,6.3
HSPG2,6.29
FGF5,6.29
IL2RB,6.29
NTN1,6.29
PHF6,6.29
MIR138-1,6.28
ABCA1,6.28
CTBP1,6.28
CYP2C9,6.28
SLC25A13,6.27
NCL,6.27
MIR627,6.27
CKS1B,6.27
MIR487B,6.26
SMAD6,6.26
GPC1,6.26
TBX2,6.26
TRIP13,6.26
CASC4,6.26
RECQL5,6.26
KIF5B,6.26
POC1A,6.26
PFKFB4,6.26
GPRC5A,6.25
SIRT3,6.25
INHBB,6.25
HOXA9,6.25
CDX1,6.25
DDB1,6.25
GSR,6.24
EIF3H,6.23
SASH1,6.23
UGT2B17,6.23
IL12A,6.23
COL3A1,6.22
POP1,6.22
LINC00092,6.22
LDOC1,6.22
MPL,6.22
UIMC1,6.21
EGLN1,6.21
LIF,6.21
NRP2,6.21
TTK,6.21
ASCL1,6.2
PAK4,6.2
RBM28,6.2
EPHA4,6.2
IL13RA2,6.19
CASC9,6.19
STARD13,6.19
PLXNB1,6.18
AGO2,6.18
CIC,6.18
DAG1,6.18
IFI16,6.18
CX3CL1,6.17
PFKP,6.17
MIR4697HG,6.17
DNAH8,6.17
TNFRSF10C,6.17
NT5E,6.16
CAGE1,6.15
HSPA9,6.15
ARHGEF4,6.15
ERGIC3,6.15
ERLNC1,6.15
DNAJC21,6.14
SMC1A,6.14
DROSHA,6.14
SPIDR,6.14
PIK3R4,6.14
CXCL11,6.13
CREB3L4,6.13
IL9,6.13
MIB1,6.13
SIX4,6.13
REL,6.12
SORL1,6.12
FHL2,6.12
SLIT2,6.11
NISCH,6.11
RACK1,6.11
SLC16A1,6.11
DHX9,6.11
TFAP2B,6.11
CFL1,6.11
PHLPP2,6.11
FPGS,6.11
SPINT2,6.1
TNFSF15,6.1
LINC00623,6.1
AFF1,6.1
CST6,6.1
MIR103A2,6.1
BIN1,6.09
MIR551A,6.09
NDUFA13,6.09
FANCL,6.09
PRKD3,6.08
CHGB,6.08
MDH2,6.08
OVAAL,6.08
PDCD6,6.07
FOXC2,6.07
MT-ATP6,6.07
LNCR3,6.06
DCST1-AS1,6.06
RBBP7,6.06
MST1,6.06
NTF3,6.06
BCL11A,6.06
CDH11,6.06
ZNF300P1,6.06
TP53BP2,6.05
DGCR5,6.05
ABCB6,6.05
MIR338,6.04
SLX4,6.04
TPM1,6.04
LIFR,6.04
RAD23B,6.04
MT2A,6.03
CSNK2A2,6.03
PRNP,6.03
SCNN1B,6.03
MIR583HG,6.02
FZD8,6.02
SRSF1,6.02
ATF4,6.02
MIR635,6.01
EDARADD,6.01
SGK1,6.01
NUP98,6.01
NDRG2,6.01
HSPA14,6.01
MIR503,6.01
KLK14,6
TRAF4,6
CALM1,6
CYP2B6,6
GRM1,6
PRDM1,6
LRP1B,5.99
LINC00515,5.99
PREX1,5.99
ATAD3B,5.99
SERPINE2,5.98
MRC2,5.98
AQP3,5.98
LRATD2,5.98
CCL20,5.98
PPP1R10,5.98
PTPRH,5.97
ACSL4,5.97
MIA2,5.97
LOC110386951,5.97
SERPINF1,5.96
FDPS,5.96
SCGB1D2,5.96
TPM4,5.96
MYBL1,5.95
STK11IP,5.95
NODAL,5.95
SLC9A1,5.94
KRT1,5.94
FAAH,5.94
NECTIN4,5.94
DNAAF1,5.94
PARK7,5.94
NEDD4,5.93
PPP2CA,5.93
NMB,5.93
MIR662,5.93
ZFYVE26,5.93
TNK2,5.93
STAR,5.92
GALNT5,5.92
PDGFC,5.92
USHBP1,5.92
ZIC1,5.91
DLEU2,5.91
PTPRD,5.9
CUL3,5.9
MIR611,5.9
TRIM21,5.89
PPP1R13L,5.89
MIR518B,5.89
DNASE1L3,5.88
CRKL,5.88
ASL,5.88
KRT4,5.88
ABCB11,5.88
UBE2D1,5.87
LAPTM4B,5.87
ARHGEF1,5.87
FZD6,5.87
RPS19,5.87
PIAS3,5.87
LTO1,5.87
TUBA1A,5.87
MED19,5.86
NELFA,5.86
TACC3,5.86
CD55,5.85
PFN1,5.85
MIR648,5.85
WNT9A,5.84
CRYAB,5.84
CXADR,5.84
BMPR1B,5.84
SERPINB4,5.84
IL1RAPL2,5.84
ABI1,5.84
FADS2,5.83
CSNK1A1,5.83
EFNA1,5.82
GUSB,5.82
PLIN2,5.82
CCN4,5.82
GCM2,5.82
HSD17B2,5.82
PBX1,5.81
RAC3,5.81
TRAF1,5.81
ADAMTS1,5.81
PTPRN2,5.81
LINC01088,5.81
ENTPD3-AS1,5.81
PTPRD-AS1,5.81
SHMT1,5.81
SAFB,5.81
SLCO2B1,5.81
OFD1,5.8
NR5A2,5.8
CAMK2G,5.8
CASP6,5.8
FCGR2A,5.8
CD8A,5.79
CRABP2,5.79
TRMT2A,5.79
PRPS1,5.79
MRPS30,5.78
HSD3B2,5.78
MTA3,5.78
ECRG4,5.78
EPHA7,5.78
TACSTD2,5.78
LZTS2,5.78
NUMB,5.77
SPTLC1,5.77
SYNE1,5.77
MAP4K2,5.76
HBB,5.76
GRIN2D,5.76
TUBA1B,5.76
CD276,5.75
VCL,5.75
DSC3,5.75
PTPRN,5.75
YWHAZ,5.75
IGF2BP1,5.75
MTA2,5.74
TGFB1I1,5.74
HLTF,5.74
RBM5,5.74
PRODH,5.74
NDC80,5.74
SIRT7,5.74
TPR,5.74
H2AC21,5.74
FURIN,5.73
CAVIN3,5.73
CRK,5.72
GSK3A,5.72
COLCA2,5.72
CCR10,5.72
SFTPD,5.72
PRAME,5.72
SALL4,5.72
NUDT1,5.72
PBRM1,5.72
GTF2E2,5.71
C1S,5.71
MIR218-2,5.71
NUDT6,5.71
ASAH1,5.71
ELOC,5.71
PLCG2,5.71
ACVR1,5.7
UGCG,5.7
KPNA5,5.7
KPNA2,5.69
LETMD1,5.69
MAP3K20,5.69
IL18R1,5.69
SCD,5.69
GNA13,5.69
BCDIN3D,5.68
FER,5.68
SFRP4,5.68
PRKAB1,5.68
PGK1,5.68
ST6GAL1,5.67
RNF216,5.67
EDN3,5.67
SOAT1,5.66
CYP2C8,5.66
KAT2B,5.66
ID2,5.66
TAGLN,5.66
MCM7,5.66
GABRP,5.65
PTPRA,5.65
GDF2,5.65
CBR3-AS1,5.65
KRT16,5.65
DEK,5.65
MYH1,5.64
DBN1,5.64
KAT5,5.64
TACR1,5.64
PSAP,5.63
ACTN1,5.63
KCNH2,5.63
PTGDS,5.63
SIRT6,5.63
NRIP1,5.63
TECTA,5.63
CST3,5.63
PLS3,5.62
CAVIN1,5.62
CIITA,5.62
PRTN3,5.62
SLC16A3,5.62
VAMP7,5.62
TUSC2,5.62
INPP4B,5.62
ADAM9,5.62
ENPEP,5.62
LIPE,5.62
MTHFD1,5.62
RAP1GAP,5.61
KDM5A,5.61
DERPC,5.61
ESRRB,5.61
UGT1A,5.6
MMP12,5.6
LIMA1,5.6
PDLIM2,5.6
H4-16,5.59
FUT4,5.59
MAGED1,5.59
LMO2,5.59
CSN1S1,5.59
MIEN1,5.59
ICOSLG,5.59
SLC7A11,5.59
IRF8,5.59
PLEKHA8,5.59
LETM1,5.58
TRERF1,5.58
ACTG1,5.58
ATP8B1,5.58
COPS5,5.58
CNR1,5.58
TET1,5.57
PLOD1,5.57
FZD10,5.57
GALK1,5.57
ZNF277,5.57
NID1,5.57
LRP1,5.57
PTS,5.57
HADHB,5.56
RPS9,5.55
S100A14,5.55
PLD1,5.55
THOC5,5.55
TFDP1,5.55
SLC2A2,5.55
LCK,5.54
EIF3M,5.54
HAS2,5.54
CYB5R3,5.54
AKAP6,5.54
ALX4,5.54
SKIV2L,5.54
GADD45G,5.53
ANK2,5.53
UGT2B7,5.53
UNC13D,5.53
LFS3,5.53
PSMA1,5.53
FSCB,5.53
POMGNT1,5.52
MSX2,5.52
PAPPA,5.52
MATK,5.52
PLK4,5.52
SLCO1B1,5.52
SLC13A5,5.52
KLK13,5.51
RASAL2,5.51
MIR423,5.51
RASA2,5.51
MRAP,5.51
DLL1,5.51
TBXAS1,5.51
PPBP,5.51
MIR216A,5.5
SBNO1,5.5
THRA,5.5
CCL21,5.5
MIR452,5.5
TXNRD2,5.49
CBFA2T3,5.49
CNTRL,5.48
CSH1,5.48
SMC3,5.48
MT-ND5,5.47
SLC4A7,5.47
LRP2,5.46
PRKAR2A,5.46
GJB1,5.46
RGMB-AS1,5.46
ACY1,5.46
PRR5,5.46
MAGEA11,5.45
HADHA,5.45
PTPN13,5.45
CTCFL,5.45
HAMP,5.45
CDK9,5.45
RELB,5.44
CARM1,5.44
HDAC7,5.44
GSE1,5.44
CNTN6,5.44
NPY,5.44
CAV2,5.44
SFTA1P,5.44
BCL11B,5.44
LINC01852,5.44
DNAH9,5.43
EIF2AK3,5.43
PCNT,5.43
ELF5,5.43
CXCL5,5.43
CD81,5.43
LAMA3,5.43
CD27,5.43
IER3,5.43
GLS,5.43
COL2A1,5.43
HDC,5.43
UHRF2,5.43
BMX,5.43
PGBD3,5.42
RBPJ,5.42
WASHC5,5.42
LUM,5.42
HDLBP,5.42
LDB1,5.42
KNG1,5.41
VCAN,5.41
UGDH,5.41
MUC5B,5.41
PTPN6,5.4
ABCC4,5.4
GATA6,5.4
CACNA1G,5.4
RPS6KA5,5.4
NUP133,5.4
PSMD10,5.4
ARFGEF1,5.4
EGLN3,5.4
PRKAR2B,5.4
LSM1,5.39
HLA-DPB1,5.39
WARS1,5.39
GSDMB,5.39
DNAJB2,5.39
WNT11,5.39
HTRA1,5.39
TXNRD1,5.39
ACRBP,5.39
SATB2,5.38
MIR9-2,5.38
FLG,5.38
WNT16,5.38
ABCA4,5.38
ITPR1,5.38
MIR340,5.38
ATF7IP,5.38
RASGRP3,5.38
CSN3,5.38
COL17A1,5.38
ANG,5.38
RBM38,5.37
SLC5A1,5.37
SUSD3,5.37
TBK1,5.37
PIGR,5.37
NAA10,5.37
PSAT1,5.36
P4HB,5.36
PPP1R1B,5.36
ID4,5.36
POLR1C,5.36
RNF8,5.36
ZNF365,5.36
CRAT,5.36
USP7,5.36
ZMYND8,5.35
LATS2,5.35
SLC34A1,5.35
KIF14,5.35
GLO1,5.35
ZBTB20,5.35
GC,5.35
LMTK3,5.35
SKP1,5.34
POU4F2,5.34
G3BP2,5.34
CLIC1,5.34
ITGAE,5.34
NCSTN,5.34
PTGER2,5.34
RFC4,5.34
BTRC,5.33
CSNK1E,5.33
REG4,5.33
LINC00941,5.33
RAN,5.32
BCL2L12,5.32
GPI,5.32
NLRP8,5.32
LEPQTL1,5.32
DIP2C,5.32
KCNA5,5.31
WAS,5.31
LRIG1,5.31
FUT2,5.31
TP53I3,5.31
MERTK,5.31
NEK3,5.31
CD163,5.31
LGALS4,5.3
RASGRF2,5.3
TAB1,5.3
NR1H4,5.3
CAMTA1,5.3
PRKCZ,5.3
SCN5A,5.3
IKZF1,5.29
TUBB2A,5.29
EFEMP1,5.29
FZR1,5.29
GAB2,5.29
CARTPT,5.29
GHSR,5.29
ANXA3,5.28
BPIFA4P,5.28
MAFA-AS1,5.28
BABAM1,5.28
MAP2K7,5.27
SPOP,5.27
ZBTB16,5.27
CD151,5.27
SPAM1,5.27
CD83,5.27
RBCK1,5.27
CAD,5.27
RNF113A,5.27
CD164,5.26
MIR7-1,5.26
PYCARD,5.26
CTAG1A,5.25
CCL7,5.25
SMARCAL1,5.25
ACP5,5.25
KMT2C,5.25
SIAH2,5.25
GUCY2C,5.25
IFNGR1,5.25
H4C1,5.25
ATP2A3,5.24
GALE,5.24
CACYBP,5.24
PMEL,5.23
LBR,5.23
SIN3A,5.23
TPBG,5.23
SHROOM2,5.23
TSPAN32,5.23
TNFSF8,5.23
TCP1,5.23
FUT8,5.23
FANCI,5.23
PCGEM1,5.22
CD74,5.22
RUNX1T1,5.22
KIAA0087,5.22
EIF2S1,5.22
SREBF1,5.22
SLC17A5,5.22
WNT7B,5.22
SLCO1B3,5.22
TMPRSS11A,5.22
ORAI1,5.22
ERVW-1,5.22
CLSPN,5.22
RPS6,5.21
MIR19B1,5.21
FCGR1A,5.21
ITPR3,5.21
HOXA5,5.21
WASF2,5.21
SECTM1,5.21
SGO1,5.2
SURF1,5.2
CDC20,5.2
DVL2,5.2
HIP1,5.2
PRDX6,5.19
MUC3A,5.19
LAMC1,5.19
PRMT5,5.19
RPL5,5.18
RIF1,5.18
UTP20,5.18
GPR161,5.18
LBP,5.18
TMPO,5.18
TINF2,5.18
SLC2A3,5.17
LHB,5.17
SYNE2,5.17
FABP3,5.17
ITGAM,5.16
CDO1,5.16
C1QBP,5.16
UHMK1,5.16
FNDC3B,5.15
NRCAM,5.15
HK3,5.14
SFTPB,5.14
LIG3,5.14
SMOX,5.14
BPIFA1,5.14
CCN6,5.14
CRX,5.14
DCLK1,5.14
MAST2,5.14
CDK11B,5.14
KALRN,5.14
AFF2,5.13
LIMD1,5.13
KMT5B,5.13
RPL27,5.13
HEY1,5.12
RICTOR,5.12
PIBF1,5.12
PIGL,5.12
CXCL6,5.11
TPT1,5.11
KIAA1324,5.11
GNB2,5.11
DOCK4,5.11
PGRMC1,5.11
GPX3,5.11
FADS1,5.11
STARD8,5.1
KIF1B,5.1
ADAMTSL1,5.1
TPM2,5.1
CEP290,5.1
BATF2,5.1
RPA2,5.1
GAS8,5.1
AQP4,5.09
SCGB1A1,5.09
TIGAR,5.09
LAMP2,5.09
CTBP2,5.09
TERF1,5.09
MIR339,5.08
CDH17,5.08
HELQ,5.08
LINC01194,5.08
PCSK1,5.08
HCP5,5.08
TERF2,5.08
ASIP,5.08
IRS4,5.07
PTPN9,5.07
MIR330,5.07
FZD5,5.07
ARL11,5.07
ABCB7,5.07
