,gene1,gene2,weight
18017,DRD3,CXCL9,1
18018,MEN1,BMP15,1
18019,F2,PROKR2,1
18020,IGFBP1,MFGE8,1
18021,IFNB1,SMARCE1,1
18022,CASR,PIK3R3,1
18023,CXCL1,SSTR5,1
18024,PRKACB,AGT,1
18025,SPTAN1,MMP8,1
18026,PTPN11,CD14,1
18027,OLA1,VWF,1
18028,RPS27A,DHH,1
18029,MAGED2,A2M,1
18030,PLG,OLA1,1
18031,PLCB1,GNRH2,1
18032,JUP,LTF,1
18033,GPR68,APP,1
18034,HPSE,JUP,1
18035,GNB1,FSHB,1
18036,CXCL9,SSTR1,1
18037,IL17RD,VWF,1
18038,JUP,HP,1
18039,SPTAN1,LTF,1
18040,AVP,CTTN,1
18041,PIK3R3,GNRH2,1
18042,SSTR2,CCR1,1
18043,LPAR3,PROK2,1
18044,AREG,FOLR1,1
18045,FGF1,TRIM24,1
18046,RNASET2,TTR,1
18047,PIK3R1,GRP,1
18048,ANXA1,CCKBR,1
18049,MAML2,CUL1,1
18050,PELP1,EPAS1,1
18051,TMPRSS6,LAMC2,1
18052,GRP,PIK3R2,1
18053,CBFB,ESRRA,1
18054,LPAR3,CCR7,1
18055,B2M,TRIM29,1
18056,AVP,INSL3,1
18057,CXCL1,SSTR1,1
18058,IL1B,IL2,1
18059,GPER1,PENK,1
18060,KMT2D,THBS1,1
18061,CDC27,CXCL8,1
18062,COL7A1,CSNK1D,1
18063,RAP1A,PLAUR,1
18064,GNRH2,GNA11,1
18065,GPR68,PIK3R2,1
18066,PRKACB,KDR,1
18067,GPR68,AGTR1,1
18068,F5,BMP4,1
18069,CHEK1,HES1,1
18070,RXRA,SRA1,1
18071,GPR68,GNRH1,1
18072,EIF3A,CASP10,1
18073,EDN1,PROK2,1
18074,KISS1,GNB3,1
18075,SH3KBP1,AVP,1
18076,HPSE,LTF,1
18077,VCP,IHH,1
18078,WNT5A,GNB3,1
18079,ANXA1,SSTR2,1
18080,MAPK8,RAD50,1
18081,PLAU,CEACAM3,1
18082,AGT,TACR3,1
18083,GNB1,PROK2,1
18084,LDLR,RPS27A,1
18085,F8,CSNK1D,1
18086,SKI,RBBP4,1
18087,CCL5,SSTR5,1
18088,DCTN5,NR3C1,1
18089,LPAR1,CXCL9,1
18090,F2R,KISS1R,1
18091,PAWR,NFKB1,1
18092,MAML2,HDAC3,1
18093,CXCL12,PRKAR1A,1
18094,HLA-A,EGR1,1
18095,AVP,RPS27A,1
18096,TCF7,MEN1,1
18097,RXRA,MT-CO2,1
18098,AVP,PIK3R2,1
18099,IHH,RPS27A,1
18100,VCAM1,PML,1
18101,PROK2,GNA11,1
18102,CXCL1,JUP,1
18103,IL2RA,INPPL1,1
18104,JUN,POLR2L,1
18105,RELA,PSMB5,1
18106,HLA-DRB1,DCTN5,1
18107,RPSA,CASC3,1
18108,KISS1,F2RL1,1
18109,TRIM37,VHL,1
18110,F2R,CCKAR,1
18111,TRIM24,IQGAP1,1
18112,GPER1,CCR4,1
18113,DRD3,CXCL13,1
18114,BCAR1,PRKCB,1
18115,PTPRJ,HLA-DRB1,1
18116,HLA-C,EGR1,1
18117,RHNO1,NBN,1
18118,STC2,APOB,1
18119,APP,GNRH2,1
18120,B2M,JUP,1
18121,KISS1,AGT,1
18122,GAS6,BMP15,1
18123,DAB2,RPS27A,1
18124,SERPINA1,OLA1,1
18125,TF,ADAM10,1
18126,PIK3CB,IL5,1
18127,ADAM17,RPS27A,1
18128,CBFB,ITGA5,1
18129,PENK,HSP90B1,1
18130,EHMT2,RPS27A,1
18131,RPS27,PPP2R1B,1
18132,PRKAR1A,CCL11,1
18133,RNF213,FBXW7,1
18134,SSTR5,CXCR5,1
18135,RUNX1,CDK7,1
18136,VEGFC,OLA1,1
18137,DCTN5,ANK1,1
18138,CX3CR1,SSTR2,1
18139,GPR68,PIK3CA,1
18140,CX3CR1,SSTR4,1
18141,FAN1,RPS27A,1
18142,COL7A1,TFG,1
18143,CD59,TFG,1
18144,MSLN,RECK,1
18145,GNB1,GNRH2,1
18146,MAGED2,VWF,1
18147,PENK,APOB,1
18148,KITLG,MCM5,1
18149,RPS27A,TGFB1,1
18150,HPSE,CHI3L1,1
18151,RBBP8,POLK,1
18152,MAML2,RBX1,1
18153,TF,CSF1,1
18154,KISS1,PIK3R3,1
18155,TF,AVPR2,1
18156,IL4R,CBL,1
18157,NEU1,CFP,1
18158,SKI,RPS27A,1
18159,PML,TGFB3,1
18160,SSTR5,CXCL13,1
18161,CCR1,SSTR5,1
18162,SH3KBP1,PTPN3,1
18163,CTSL,RUNX1,1
18164,IL17RD,CSK,1
18165,JUP,CFP,1
18166,IGF1,OLA1,1
18167,STAT4,ANXA2,1
18168,FGF9,RPS27A,1
18169,TSHR,ADM,1
18170,APP,PROKR2,1
18171,IL7R,CFTR,1
18172,HPSE,RETN,1
18173,OPCML,PSCA,1
18174,VEGFB,F13A1,1
18175,SSTR3,CXCL13,1
18176,GHR,TFF1,1
18177,SRC,IL17RD,1
18178,GPC3,RBP1,1
18179,LPAR3,GAST,1
18180,NEU1,LTF,1
18181,GAST,GNRHR,1
18182,CCND2,GLI1,1
18183,IRF4,SMARCB1,1
18184,OLA1,F13A1,1
18185,PPP2R1A,BIRC5,1
18186,CCL11,RAF1,1
18187,HSP90B1,BMP4,1
18188,MSLN,CEACAM7,1
18189,TF,MFGE8,1
18190,ITGA2,FLT4,1
18191,SOS1,THPO,1
18192,AMACR,RPS27A,1
18193,WWTR1,CBFB,1
18194,HTR2A,GNRH2,1
18195,AGTR1,PROK2,1
18196,TF,BMP15,1
18197,TFF3,SHC1,1
18198,TF,RPS27A,1
18199,RNF213,TRIM37,1
18200,HPSE,OLFM4,1
18201,POLR2L,ATM,1
18202,LPAR1,PIK3CB,1
18203,ORC1,KITLG,1
18204,MFGE8,FGF23,1
18205,F8,OLA1,1
18206,TUBB,RETN,1
18207,BCL2L11,AKAP9,1
18208,HPD,MIF,1
18209,CGA,GNB1,1
18210,TAC3,CASR,1
18211,GRPR,ANXA1,1
18212,EXO1,RRM2,1
18213,FOLR1,CSNK1D,1
18214,TP73,PSMB5,1
18215,ITGB3,AKAP9,1
18216,ACD,RAD21,1
18217,HPSE,CXCL1,1
18218,CD59,SPTAN1,1
18219,PIK3CA,GNRH2,1
18220,CCL4,PLCB1,1
18221,MSLN,APP,1
18222,FANCG,RPS27A,1
18223,SPHK1,RASA1,1
18224,DVL3,RPS27A,1
18225,TAC3,CCKAR,1
18226,MED12,LEP,1
18227,GHRHR,PTGER4,1
18228,APC,RBX1,1
18229,GNB1,LHCGR,1
18230,MAML2,TBL1XR1,1
18231,NRG1,RPS27A,1
18232,MSLN,BMP15,1
18233,RAP1A,IL17RD,1
18234,F2R,PIK3R2,1
18235,ADM,GNAS,1
18236,FZD4,AMPH,1
18237,CXCL1,DRD3,1
18238,GH1,PLCG1,1
18239,STAT4,SPHK2,1
18240,XPO1,TGFB1,1
18241,HSP90B1,IGFBP4,1
18242,PROK2,PIK3R2,1
18243,GNB1,SCT,1
18244,RNASET2,VCP,1
18245,IFNB1,SMARCB1,1
18246,F5,FBN1,1
18247,MDC1,POLR2L,1
18248,F8,TFG,1
18249,CCL4,CFTR,1
18250,GDNF,CTNNA1,1
18251,LPAR3,RELA,1
18252,POLR2L,RARA,1
18253,GDNF,PIK3R2,1
18254,TUBB,GRN,1
18255,PER1,RPS27A,1
18256,MAML2,FLT4,1
18257,ITGB3,MAP2K2,1
18258,ALDOA,MAGED2,1
18259,XPA,POLR2L,1
18260,SERPINA1,CSNK1D,1
18261,RELA,LPAR1,1
18262,CD40LG,PSMB5,1
18263,PRKCI,RIPK1,1
18264,RYBP,RUNX1,1
18265,TRIM29,VCAM1,1
18266,CXCR5,SSTR1,1
18267,PPP2R1A,CD80,1
18268,CD59,CSNK1D,1
18269,GPER1,CXCR2,1
18270,AVP,GHRHR,1
18271,TF,BMP4,1
18272,HPSE,NEU1,1
18273,BMP15,TIMP1,1
18274,MEN1,TNC,1
18275,TAC3,PLCB1,1
18276,GPR68,ANXA1,1
18277,CBFB,SMARCA2,1
18278,PSMB5,AXIN1,1
18279,TACR3,PIK3R2,1
18280,PSMB5,DVL3,1
18281,HSP90B1,BMP15,1
18282,GAD1,PLCG1,1
18283,RUNX3,RPS27A,1
18284,SSTR2,CCR2,1
18285,SERPINA1,FGF23,1
18286,MAML2,ACTA2,1
18287,HLA-DQB1,DCTN5,1
18288,TAC3,PIK3R1,1
18289,PRKACB,CCL11,1
18290,TAC3,EDNRA,1
18291,CCR5,SSTR1,1
18292,CBFB,CTSL,1
18293,PENK,ACKR3,1
18294,NCOA6,RARB,1
18295,GPER1,CCR7,1
18296,FANCA,RPS27A,1
18297,AREG,F8,1
18298,F5,HSP90B1,1
18299,F2,PIK3R3,1
18300,MAML2,E2F1,1
18301,CTNND1,RAC2,1
18302,DKC1,IFNG,1
18303,RPA1,HES1,1
18304,CXCL13,GNB3,1
18305,MAGED2,SERPINE1,1
18306,PPP2R1B,LRP5,1
18307,F2,TACR3,1
18308,SNCA,RPS27A,1
18309,PENK,CCR1,1
18310,CXCL10,SSTR5,1
18311,AVP,F2RL1,1
18312,AGTR1,CBL,1
18313,CD36,HDAC3,1
18314,CHEK1,POLR2L,1
18315,GPR68,EDNRB,1
18316,PDPK1,GNB3,1
18317,AMPH,APOB,1
18318,LPAR3,ANXA1,1
18319,FZD4,AVP,1
18320,AGTR1,GNRH2,1
18321,F2R,GNRH2,1
18322,IL5,PIK3R2,1
18323,GAST,PROK2,1
18324,GHRH,PTGER4,1
18325,IL7R,APOB,1
18326,LPAR1,CXCL13,1
18327,MSLN,APOB,1
18328,PPP2R1A,LRP6,1
18329,GPER1,SSTR4,1
18330,CTTN,APOB,1
18331,IDH1,CXCL1,1
18332,RPS27A,ADAM10,1
18333,CLU,VEGFB,1
18334,PSMB5,APC,1
18335,LPAR3,GNRH1,1
18336,STC2,APOA1,1
18337,GNB1,GAST,1
18338,PIK3R1,TRIM24,1
18339,RECK,OPCML,1
18340,F5,MEN1,1
18341,NEU1,RETN,1
18342,NRAS,IL17RD,1
18343,LPAR3,CX3CR1,1
18344,SERPINC1,MEN1,1
18345,TBL1XR1,CD36,1
18346,MAGED2,TGFB1,1
18347,LPAR3,KISS1R,1
18348,AKT2,CD80,1
18349,AMPH,CD4,1
18350,PTP4A1,CCNA2,1
18351,SSTR3,LPAR1,1
18352,GDNF,PRKACB,1
18353,AGT,GNRH2,1
18354,GNB1,CALCA,1
18355,ETS1,RUNX2,1
18356,CXCL9,DRD2,1
18357,SERPINC1,STC2,1
18358,NCOA6,POLR2L,1
18359,F5,CDH2,1
18360,LPAR1,CXCR5,1
18361,GH1,RBX1,1
18362,FSHB,GNB3,1
18363,FZD4,CFTR,1
18364,DAB2,ADRB2,1
18365,PIK3CA,IL12B,1
18366,RPS27A,NGFR,1
18367,NFKB2,IL12B,1
18368,GPER1,CXCR5,1
18369,SSTR3,CXCR5,1
18370,F8,COL7A1,1
18371,FOLR1,TFG,1
18372,PRKCA,DKC1,1
18373,SERPINA1,TNC,1
18374,CBFB,MYB,1
18375,CASR,CXCL13,1
18376,PLCB1,CCL11,1
18377,GPR68,PROK2,1
18378,CXCL12,PRKACB,1
18379,CASR,PIK3CA,1
18380,F2RL1,GNRHR,1
18381,MAML2,HDAC6,1
18382,MAGED2,PDGFB,1
18383,EDNRA,GNRH2,1
18384,TBL1XR1,APOA1,1
18385,PRKCD,PIK3CB,1
18386,HTR2A,F2RL1,1
18387,ITGB3BP,NGFR,1
18388,RARG,HDAC3,1
18389,AGT,PIK3CA,1
18390,MEN1,MFGE8,1
18391,PSENEN,YBX1,1
18392,SRA1,CREBBP,1
18393,POLR2L,SUZ12,1
18394,ITGB3BP,NGF,1
18395,CBFB,AXIN1,1
18396,ACPP,CD68,1
18397,CX3CR1,PENK,1
18398,ITGB3BP,RPS27,1
18399,FGF19,PIK3CB,1
18400,CBFB,ABL1,1
18401,CP,BMP15,1
18402,RNF213,STUB1,1
18403,TF,MSLN,1
18404,AVP,PLCB1,1
18405,HLA-G,PML,1
18406,GH1,TFF1,1
18407,TF,FBN1,1
18408,ADAM12,PRKCB,1
18409,MAPK8,FOXO1,1
18410,GPR68,PLCB1,1
18411,HLA-B,TRIM29,1
18412,INSL3,GNB3,1
18413,PIK3R1,GDNF,1
18414,AMPH,ADRB2,1
18415,LPAR1,PROK2,1
18416,MAML2,HDAC8,1
18417,SOS1,AGT,1
18418,CXCR1,SSTR1,1
18419,ANXA1,SSTR4,1
18420,GNB1,WNT5A,1
18421,IL7,PIK3R3,1
18422,CD59,RAP1A,1
18423,CXCL9,SSTR4,1
18424,TAC3,GNB1,1
18425,PRKCD,S100A7,1
18426,NCOA2,ABCB4,1
18427,PIK3R1,CUX1,1
18428,RPS27A,FANCE,1
18429,HLA-G,TRIM25,1
18430,PSMB5,DHH,1
18431,CASP7,ITGB4,1
18432,GPER1,CX3CR1,1
18433,SSTR2,CCR7,1
18434,FGFR2,POLR2L,1
18435,KIF15,DCTN5,1
18436,CXCR5,SST,1
18437,BCL2,TFAP2A,1
18438,SOCS3,HERC2,1
18439,GPER1,CCR5,1
18440,POLR2L,FGF2,1
18441,POMC,LPAR1,1
18442,VCP,DHH,1
18443,RBBP4,SUFU,1
18444,MAP2K2,VWF,1
18445,PSMB5,AXIN2,1
18446,PIK3R3,IL5,1
18447,ITGB3,IL17RD,1
18448,F2,GNB3,1
18449,PDGFB,OLA1,1
18450,FZD4,IGF2R,1
18451,AMACR,NOS2,1
18452,TRIM24,PLCG1,1
18453,CALCA,LHCGR,1
18454,RNF213,VHL,1
18455,RAC1,MEN1,1
18456,INSL3,GNAS,1
18457,INSL3,VIP,1
18458,MAP2K3,PEBP1,1
18459,GPR68,GNB3,1
18460,CASP8,COL7A1,1
18461,JUP,RETN,1
18462,BCL2L11,IQGAP1,1
18463,GPR68,AVP,1
18464,F5,FGF23,1
18465,MC1R,INSL3,1
18466,KDM1A,XPC,1
18467,S100A7,TUBB,1
18468,TAC3,PIK3R3,1
18469,PENK,CCR5,1
18470,PSENEN,TRAF6,1
18471,F2,GNRHR,1
18472,GRP,GNRH2,1
18473,HLA-DQB1,PML,1
18474,IGF2R,IL7R,1
18475,CCR2,SSTR1,1
18476,MSLN,F5,1
18477,RAP1A,CEACAM3,1
18478,GAST,PIK3R3,1
18479,TACR3,PIK3R3,1
18480,COL7A1,TGFA,1
18481,RNF213,CUL1,1
18482,F2R,PIK3R3,1
18483,GPC3,FGF23,1
18484,MSLN,SERPINC1,1
18485,CBFB,CSF2,1
18486,VEGFB,OLA1,1
18487,CASR,KISS1,1
18488,PROS1,OLA1,1
18489,SPHK2,IL12B,1
18490,FOLR1,F5,1
18491,PENK,LGALS1,1
18492,SPTAN1,CHI3L1,1
18493,MAGED2,F5,1
18494,FOLR1,F8,1
18495,GNAS,CCL11,1
18496,RBBP8,RPS27A,1
18497,GPR68,F2,1
18498,GNB1,CXCL13,1
18499,GTF2H5,POLK,1
18500,CBFB,NR3C1,1
18501,CCL11,SLC9A3R1,1
18502,FGF23,LGALS1,1
18503,CUL1,PRL,1
18504,ADM,GNB3,1
18505,FCGR3A,MYH9,1
18506,MSLN,ALPL,1
18507,AVP,IL7R,1
18508,PSMB5,SHH,1
18509,FZD4,SH3KBP1,1
18510,NT5C1B,UMPS,1
18511,GPER1,SSTR2,1
18512,ELANE,SPTAN1,1
18513,SMARCE1,ATF2,1
18514,PENK,FGF23,1
18515,SSTR2,CXCR1,1
18516,PAK1,SEMA3A,1
18517,F2R,TACR3,1
18518,PIK3CB,FGF23,1
18519,CCKBR,F2R,1
18520,FCGR3A,WASF3,1
18521,RHNO1,RAD50,1
18522,GPR68,GNRH2,1
18523,CCKAR,GNRH2,1
18524,SOS1,CD79A,1
18525,FANCF,RPS27A,1
18526,FBXW7,HERC2,1
18527,CBFB,KMT2D,1
18528,GNB1,MAP2K3,1
18529,CBFB,CTLA4,1
18530,HMMR,AKAP9,1
18531,AGT,CXCL9,1
18532,NCOA3,POLR2L,1
18533,BMP15,APOB,1
18534,AREG,CSNK1D,1
18535,F5,STC2,1
18536,PSMB5,VHL,1
18537,SSTR3,CCR1,1
18538,CASR,CX3CR1,1
18539,GPER1,CXCL13,1
18540,NCOA1,ABCB4,1
18541,RPS27A,PALB2,1
18542,SSTR2,CXCL13,1
18543,PIK3R1,FGF23,1
18544,SPTAN1,DCTN5,1
18545,CBFB,THBS1,1
18546,TRIM25,PLCG1,1
18547,GNB1,GRP,1
18548,ITGB3,MAP3K1,1
18549,GAST,GNB3,1
18550,LAMA2,PAK1,1
18551,GNRH2,PIK3R2,1
18552,ACD,NBN,1
18553,PTHLH,INSL3,1
18554,NFIB,POLR3B,1
18555,TRH,PIK3R2,1
18556,GPR68,CCK,1
18557,CCL4,MAP2K2,1
18558,CCKBR,GNRH2,1
18559,UBE2T,HES1,1
18560,TAC3,F2R,1
18561,PCNA,STAT5B,1
18562,PRKAR1A,CD247,1
18563,HSP90B1,IGFBP7,1
18564,CGA,TFAP2C,1
18565,MEN1,LGALS1,1
18566,MED12,FABP4,1
18567,PIK3R1,FGF6,1
18568,AVP,F2R,1
18569,RPS27,BIRC5,1
18570,GTF2H5,PCNA,1
18571,CSF2,ITGA9,1
18572,MAD1L1,CDC42,1
18573,SHC1,HLA-DRB1,1
18574,CGA,ADM,1
18575,PRKACB,CSF2,1
18576,ELK1,PRKCB,1
18577,CSF2,PIK3R3,1
18578,CBFB,CCND2,1
18579,PIK3R1,CCK,1
18580,IL12RB1,NFKB2,1
18581,FAS,PIK3CB,1
18582,RARB,POLR2L,1
18583,CD86,PPP2R1A,1
18584,POLR2L,FANCD2,1
18585,CXCL10,SSTR4,1
18586,CCR1,SSTR1,1
18587,F2RL1,PROKR2,1
18588,ANXA1,KISS1,1
18589,SERPINC1,TNC,1
18590,TRH,GNB3,1
18591,RAP1A,CEACAM1,1
18592,MAGED2,PLG,1
18593,MCM4,KITLG,1
18594,OLA1,SERPINE1,1
18595,CGA,PTGER4,1
18596,INSL3,PTH1R,1
18597,RBBP4,ATF2,1
18598,LPAR3,CCK,1
18599,FGF23,IGFBP5,1
18600,CASR,CXCL9,1
18601,GPR68,F2RL1,1
18602,TCF3,CCNH,1
18603,PROK2,PIK3R3,1
18604,B2M,PIK3CB,1
18605,GNB1,CCR7,1
18606,GNB1,PXN,1
18607,TAC3,PIK3CA,1
18608,CBFB,HDAC4,1
18609,F2R,OXT,1
18610,HLA-DQA1,PLCG1,1
18611,PPP2R1A,CXCR2,1
18612,CCKAR,APP,1
18613,GAB1,FGF23,1
18614,GNB1,PTHLH,1
18615,B2M,SPTAN1,1
18616,PIK3R1,CTNND1,1
18617,FBN1,PENK,1
18618,BAD,NGFR,1
18619,BIRC5,PEBP1,1
18620,CCKBR,F2,1
18621,HIF1A,PELP1,1
18622,FN1,BMP15,1
18623,F5,COL7A1,1
18624,CCL4,PENK,1
18625,NFIB,POLR3A,1
18626,CASR,ANXA1,1
18627,ITGB3BP,PSEN1,1
18628,CASR,CXCL1,1
18629,ANGPT1,PIK3CB,1
18630,GNB1,CXCL10,1
18631,LPAR3,CCKAR,1
18632,VEGFC,ALDOA,1
18633,GDNF,PIK3R3,1
18634,MEN1,IGFBP7,1
18635,VIM,STAT6,1
18636,PIK3R1,IL12B,1
18637,SSTR3,CCL5,1
18638,PRLR,RBX1,1
18639,PLCB1,GAST,1
18640,RPS27,CASC3,1
18641,CGA,INHA,1
18642,AREG,COL7A1,1
18643,NEU1,MMP8,1
18644,ESR1,POLR2L,1
18645,HLA-DRB1,TRIM29,1
18646,F2RL1,GNRH2,1
18647,CDC42,RPS27,1
18648,CTTN,AVPR2,1
18649,GRP,GNB3,1
18650,GPR68,PROKR2,1
18651,TNC,BMP15,1
18652,NT5C1B,NAMPT,1
18653,CRH,NR3C1,1
18654,HERC2,VHL,1
18655,GNB1,CCL5,1
18656,TAC3,GNA11,1
18657,IGFBP7,ADAM10,1
18658,TAC3,GNAQ,1
18659,RPS27A,FGF7,1
18660,IGFBP3,RPA1,1
18661,TFAP2A,KDM5B,1
18662,F2,CCKAR,1
18663,CCR4,PENK,1
18664,POLR2L,CASC3,1
18665,POLR2L,ERCC8,1
18666,LPAR3,TRH,1
18667,BCL2,PRKACB,1
18668,CD86,PPP2R1B,1
18669,XRCC5,MSH3,1
18670,ANXA1,CCKAR,1
18671,CCL4,PRKAR1A,1
18672,F2,GNRH2,1
18673,GPER1,CXCR3,1
18674,MAPK9,RAC2,1
18675,CCR3,SSTR5,1
18676,POLR2L,NANOG,1
18677,F5,OLA1,1
18678,GNB1,SMO,1
18679,IDH1,LTF,1
18680,FBXO11,RPS27A,1
18681,NRAS,VWF,1
18682,HLA-DQA1,TRIM25,1
18683,SSTR3,CXCR1,1
18684,NCAM1,TRIM29,1
18685,CD59,ANK1,1
18686,ELANE,JUP,1
18687,RAP1A,CA2,1
18688,ALDOA,HGF,1
18689,SOS1,TSG101,1
18690,LPAR3,AVP,1
18691,FSHB,ADRB2,1
18692,LYN,GH1,1
18693,CD68,CEACAM6,1
18694,IL7R,PIK3R3,1
18695,BMP15,LGALS1,1
18696,GPR68,GAST,1
18697,ADAM10,LGALS1,1
18698,HLA-DQA1,KIF15,1
18699,FGF19,RPS27A,1
18700,CXCL13,SSTR4,1
18701,AFP,BMP15,1
18702,RHNO1,RAD52,1
18703,ITGB3BP,PPP2R1A,1
18704,HTR2A,ANXA1,1
18705,SERPINA1,TFG,1
18706,VEGFC,MAGED2,1
18707,GNB1,PTH,1
18708,GHRH,GNB3,1
18709,ERCC8,RPA1,1
18710,CCL4,GNB1,1
18711,JUP,NEU1,1
18712,LPAR1,CCR4,1
18713,SUFU,RPS27A,1
18714,GNB1,KISS1,1
18715,PSEN1,CEACAM6,1
18716,TAC3,LPAR1,1
18717,CCKBR,KISS1R,1
18718,MAP2K4,RPS27A,1
18719,HPSE,LCN2,1
18720,ERCC5,POLR2L,1
18721,SPTAN1,OLFM4,1
18722,LPAR1,GAB1,1
18723,STAT4,MSN,1
18724,KISS1,F2R,1
18725,CCL4,GPER1,1
18726,CCK,PIK3R2,1
18727,FZD4,IL7R,1
18728,IGFBP4,FGF23,1
18729,PSG2,SDC1,1
18730,TAC3,LPAR3,1
18731,FOS,EGFR,1
18732,GPR68,EDNRA,1
18733,RHNO1,ERCC1,1
18734,GAST,F2RL1,1
18735,SH3KBP1,WNT5A,1
18736,STC2,ADAM10,1
18737,LPAR3,TACR3,1
18738,PPP2R1A,CXCL8,1
18739,SQSTM1,ITGB3BP,1
18740,SSTR5,CCR2,1
18741,SPTAN1,SLPI,1
18742,BCAR1,PRKCQ,1
18743,SHC1,LAMC2,1
18744,YAP1,CBFB,1
18745,CTNNA1,CA2,1
18746,LPAR3,PIK3CA,1
18747,LPAR3,ACKR3,1
18748,IL12RB1,SPHK2,1
18749,CCL11,MAP2K2,1
18750,GPR68,GRPR,1
18751,RPS27A,APC,1
18752,MFGE8,CP,1
18753,SSTR3,ANXA1,1
18754,GPR68,F2R,1
18755,PENK,BMP15,1
18756,PROK2,PIK3CA,1
18757,CBFB,SMAD3,1
18758,ZNF703,TRIM28,1
18759,FGF10,GAB1,1
18760,CCNE2,MAX,1
18761,LPAR1,SSTR4,1
18762,ANXA1,GNB3,1
18763,RPS27,NUP107,1
18764,MYH11,MYH9,1
18765,GNB1,GPER1,1
18766,CBFB,BMP2,1
18767,TGFB2,OLA1,1
18768,NTS,GNB3,1
18769,NCAM1,SOS1,1
18770,MAML2,HDAC4,1
18771,PROK2,GNB3,1
18772,GRPR,PIK3CA,1
18773,MEN1,TCF7L1,1
18774,TF,MEN1,1
18775,MFGE8,BMP15,1
18776,RARG,POLR2L,1
18777,CXCR2,SSTR5,1
18778,IGF2R,RPS27A,1
18779,AKAP9,TUBB,1
18780,GAST,F2R,1
18781,DRD3,ANXA1,1
18782,GDNF,SOS1,1
18783,CCL4,PRKACB,1
18784,TBL1XR1,PPARA,1
18785,NEU1,SPTAN1,1
18786,LPAR3,CXCR1,1
18787,RNASET2,S100A7,1
18788,HLA-DQA1,DCTN5,1
18789,RASA1,CD79A,1
18790,AMPH,IL7R,1
18791,HSP90AA1,PCM1,1
18792,VCP,RETN,1
18793,CCL5,SSTR1,1
18794,PSENEN,ITGB3BP,1
18795,IRF4,SMARCE1,1
18796,DVL1,PSMB5,1
18797,TRIM29,ICAM1,1
18798,GAS6,APOA1,1
18799,PDGFB,PTPN12,1
18800,GPR68,GNRHR,1
18801,CCR2,SSTR4,1
18802,RNF213,FBXO11,1
18803,SSTR3,CCR3,1
18804,LPAR3,APP,1
18805,FGF1,POLR2L,1
18806,GNB1,EDN1,1
18807,GNB1,ADM,1
18808,FASLG,PIK3CB,1
18809,F2R,PROKR2,1
18810,STC2,CP,1
18811,RHNO1,ERCC4,1
18812,WNT5A,CD4,1
18813,F2RL1,CCKAR,1
18814,LPAR3,PROKR2,1
18815,SERPINA1,BMP15,1
18816,PLCB1,F2,1
18817,PDGFA,SPHK2,1
18818,CCR1,SSTR4,1
18819,MEN1,GAS6,1
18820,GLI3,IHH,1
18821,CDH2,MAPK12,1
18822,DRD2,CXCL13,1
18823,FSHR,GNB3,1
18824,GRPR,GNRH2,1
18825,LPAR3,CXCR5,1
18826,F8,TGFA,1
18827,PLAU,RAP1A,1
18828,PENK,CCR7,1
18829,PTH,GNB3,1
18830,MEN1,IGFBP4,1
18831,ROBO1,RPS27A,1
18832,MAGED2,VEGFB,1
18833,ARAF,VWF,1
18834,ITGB3,TRIM24,1
18835,IL7R,IRS1,1
18836,STAT4,AIP,1
18837,SSTR3,CXCL10,1
18838,CXCL1,SSTR2,1
18839,GNB3,SCT,1
18840,B2M,NEU1,1
18841,TRAF6,PIK3R2,1
18842,CXCL12,PLCB1,1
18843,STC2,APOE,1
18844,PRKCA,SFN,1
18845,PAX6,NCOA3,1
18846,IGFBP3,F5,1
18847,F5,TIMP1,1
18848,MAML2,PLXND1,1
18849,MAML2,HDAC5,1
18850,ATAD2,TFAP2C,1
18851,TRH,PIK3R3,1
18852,TF,WNT5A,1
18853,CCL4,GNAS,1
18854,PRKAR1A,AGT,1
18855,PCNA,STAT5A,1
18856,MAML2,ELF3,1
18857,PRL,RBX1,1
18858,CD2AP,PIK3CA,1
18859,GNB1,PTK2B,1
18860,MEN1,TIMP1,1
18861,FGF3,RPS27A,1
18862,PRKAA2,LAMTOR5,1
18863,PRKAA1,LAMTOR5,1
18864,AREG,F5,1
18865,CBFB,ITGA4,1
18866,HIF1A,PSMB5,1
18867,FCGR3A,PIK3CB,1
18868,PIK3R1,AVP,1
18869,IGF2,F8,1
18870,FSCN1,STAT6,1
18871,MUC5AC,MUCL1,1
18872,TF,STC2,1
18873,HSP90B1,TNC,1
18874,F5,ADAM10,1
18875,ESR2,SMARCB1,1
18876,MAGED2,F8,1
18877,PTCH1,RPS27A,1
18878,TYMP,NT5C1B,1
18879,NT5C1B,TYMS,1
18880,HLA-DQB1,TRIM29,1
18881,CGA,GNB3,1
18882,NCOR2,RPS27A,1
18883,NFKB1,RETN,1
18884,EDNRB,GNRH2,1
18885,PSCA,CEACAM7,1
18886,SHC1,HLA-A,1
18887,LPAR3,GAB1,1
18888,PIK3CA,PROKR2,1
18889,RPS27A,FGF6,1
18890,AVPR2,AMPH,1
18891,ANXA1,SSTR5,1
18892,REST,MECOM,1
18893,HSPA8,TPD52,1
18894,CDT1,KITLG,1
18895,PENK,CXCR5,1
18896,NCOA6,ABCB4,1
18897,CEACAM3,ADAM10,1
18898,PCNA,XRCC2,1
18899,ACD,RAD50,1
18900,CD36,MED12,1
18901,MED12,LPL,1
18902,IL7R,PIK3R2,1
